ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,Attribute 10 name,Attribute 10 value(s),Attribute 10 visible,Attribute 10 global,Attribute 11 name,Attribute 11 value(s),Attribute 11 visible,Attribute 11 global,Attribute 12 name,Attribute 12 value(s),Attribute 12 visible,Attribute 12 global,Attribute 13 name,Attribute 13 value(s),Attribute 13 visible,Attribute 13 global,Attribute 14 name,Attribute 14 value(s),Attribute 14 visible,Attribute 14 global,Attribute 15 name,Attribute 15 value(s),Attribute 15 visible,Attribute 15 global,Attribute 16 name,Attribute 16 value(s),Attribute 16 visible,Attribute 16 global,Attribute 17 name,Attribute 17 value(s),Attribute 17 visible,Attribute 17 global,Attribute 18 name,Attribute 18 value(s),Attribute 18 visible,Attribute 18 global,Attribute 19 name,Attribute 19 value(s),Attribute 19 visible,Attribute 19 global,Attribute 20 name,Attribute 20 value(s),Attribute 20 visible,Attribute 20 global,Attribute 21 name,Attribute 21 value(s),Attribute 21 visible,Attribute 21 global,Attribute 22 name,Attribute 22 value(s),Attribute 22 visible,Attribute 22 global,Attribute 23 name,Attribute 23 value(s),Attribute 23 visible,Attribute 23 global,Attribute 24 name,Attribute 24 value(s),Attribute 24 visible,Attribute 24 global,Attribute 25 name,Attribute 25 value(s),Attribute 25 visible,Attribute 25 global,Attribute 26 name,Attribute 26 value(s),Attribute 26 visible,Attribute 26 global,Attribute 27 name,Attribute 27 value(s),Attribute 27 visible,Attribute 27 global,Attribute 28 name,Attribute 28 value(s),Attribute 28 visible,Attribute 28 global,Attribute 29 name,Attribute 29 value(s),Attribute 29 visible,Attribute 29 global,Attribute 4 default
93,variation,,Solid Color Muslim Chiffon Hijab - 16,1,0,visible,,,,,taxable,parent,1,95,,0,0,,,,,0,,3.48,10.25,,,,https://store.buyandnow.com/wp-content/uploads/2022/01/93-dhyabt.jpg,,,4000829773532,,,,,,0,Color,16,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,variation,,Solid Color Muslim Chiffon Hijab - 09,1,0,visible,,,,,taxable,parent,1,98,,0,0,,,,,0,,3.48,10.25,,,,https://store.buyandnow.com/wp-content/uploads/2022/01/94-60jum5.jpg,,,4000829773532,,,,,,0,Color,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,variation,,Solid Color Muslim Chiffon Hijab - 19,1,0,visible,,,,,taxable,parent,1,97,,0,0,,,,,0,,3.48,10.25,,,,https://store.buyandnow.com/wp-content/uploads/2022/01/95-c5rbxk.jpg,,,4000829773532,,,,,,0,Color,19,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,variation,,Solid Color Muslim Chiffon Hijab - 48,1,0,visible,,,,,taxable,parent,1,99,,0,0,,,,,0,,3.48,10.25,,,,https://store.buyandnow.com/wp-content/uploads/2022/01/96-n58rh3.jpg,,,4000829773532,,,,,,0,Color,48,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,variation,,Solid Color Muslim Chiffon Hijab - 49,1,0,visible,,,,,taxable,parent,1,98,,0,0,,,,,0,,3.48,10.25,,,,https://store.buyandnow.com/wp-content/uploads/2022/01/97-v08abf.jpg,,,4000829773532,,,,,,0,Color,49,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,variation,,Solid Color Muslim Chiffon Hijab - 50,1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,3.48,10.25,,,,https://store.buyandnow.com/wp-content/uploads/2022/01/98-iestqs.jpg,,,4000829773532,,,,,,0,Color,50,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,variation,,Solid Color Muslim Chiffon Hijab - 45,1,0,visible,,,,,taxable,parent,1,99,,0,0,,,,,0,,3.48,10.25,,,,https://store.buyandnow.com/wp-content/uploads/2022/01/99-zso0uh.jpg,,,4000829773532,,,,,,0,Color,45,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,variation,,Solid Color Muslim Chiffon Hijab - 46,1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,3.48,10.25,,,,https://store.buyandnow.com/wp-content/uploads/2022/01/100-fddrt5.jpg,,,4000829773532,,,,,,0,Color,46,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,variation,,Solid Color Muslim Chiffon Hijab - 44,1,0,visible,,,,,taxable,parent,1,98,,0,0,,,,,0,,3.48,10.25,,,,https://store.buyandnow.com/wp-content/uploads/2022/01/101-dds6d5.jpg,,,4000829773532,,,,,,0,Color,44,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,variation,,Solid Color Muslim Chiffon Hijab - 47,1,0,visible,,,,,taxable,parent,1,99,,0,0,,,,,0,,3.48,10.25,,,,https://store.buyandnow.com/wp-content/uploads/2022/01/102-auzjpz.jpg,,,4000829773532,,,,,,0,Color,47,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,variation,,Solid Color Muslim Chiffon Hijab - 41,1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,3.48,10.25,,,,https://store.buyandnow.com/wp-content/uploads/2022/01/103-waqhw2.jpg,,,4000829773532,,,,,,0,Color,41,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,variation,,Solid Color Muslim Chiffon Hijab - 42,1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,3.48,10.25,,,,https://store.buyandnow.com/wp-content/uploads/2022/01/104-vtvgte.jpg,,,4000829773532,,,,,,0,Color,42,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,variation,,Solid Color Muslim Chiffon Hijab - 43,1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,3.48,10.25,,,,https://store.buyandnow.com/wp-content/uploads/2022/01/105-hldop6.jpg,,,4000829773532,,,,,,0,Color,43,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,variation,,Solid Color Muslim Chiffon Hijab - 40,1,0,visible,,,,,taxable,parent,1,99,,0,0,,,,,0,,3.48,10.25,,,,https://store.buyandnow.com/wp-content/uploads/2022/01/106-femoeo.jpg,,,4000829773532,,,,,,0,Color,40,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
